Id,fixed acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,cluster
0,7.4,1.9,11.0,34.0,0.9978,3.51,0.56,9.4,5,Raiz
1,7.8,2.6,25.0,67.0,0.9968,3.2,0.68,9.8,5,Raiz
2,7.8,2.3,15.0,54.0,0.997,3.26,0.65,9.8,5,Raiz
3,11.2,1.9,17.0,60.0,0.998,3.16,0.58,9.8,6,Momento
4,7.4,1.9,11.0,34.0,0.9978,3.51,0.56,9.4,5,Raiz
5,7.4,1.8,13.0,40.0,0.9978,3.51,0.56,9.4,5,Raiz
6,7.9,1.6,15.0,59.0,0.9964,3.3,0.46,9.4,5,Raiz
7,7.3,1.2,15.0,21.0,0.9946,3.39,0.47,10.0,7,Raiz
8,7.8,2.0,9.0,18.0,0.9968,3.36,0.57,9.5,7,Raiz
10,6.7,1.8,15.0,65.0,0.9959,3.28,0.54,9.2,5,Raiz
12,5.6,1.6,16.0,59.0,0.9943,3.58,0.52,9.9,5,Raiz
13,7.8,1.6,9.0,29.0,0.9974,3.26,1.56,9.1,5,Raiz
16,8.5,1.8,35.0,103.0,0.9969,3.3,0.75,10.5,7,Raiz
19,7.9,1.8,17.0,56.0,0.9969,3.04,1.08,9.2,6,Raiz
21,7.6,2.3,23.0,71.0,0.9982,3.52,0.65,9.7,5,Raiz
22,7.9,1.6,10.0,37.0,0.9966,3.17,0.91,9.5,5,Raiz
23,8.5,2.3,9.0,67.0,0.9968,3.17,0.53,9.4,5,Raiz
24,6.9,2.4,21.0,40.0,0.9968,3.43,0.63,9.7,6,Raiz
25,6.3,1.4,11.0,23.0,0.9955,3.34,0.56,9.3,5,Raiz
26,7.6,1.8,4.0,11.0,0.9962,3.28,0.59,9.5,5,Raiz
28,7.1,1.9,14.0,35.0,0.9972,3.47,0.55,9.4,5,Raiz
29,7.8,2.0,8.0,16.0,0.9964,3.38,0.59,9.8,6,Raiz
30,6.7,2.4,17.0,82.0,0.9958,3.35,0.54,10.1,5,Raiz
32,8.3,2.3,15.0,113.0,0.9966,3.17,0.66,9.8,5,Raiz
34,5.2,1.8,13.0,50.0,0.9957,3.38,0.55,9.2,5,Raiz
35,7.8,5.5,5.0,18.0,0.9986,3.4,0.55,9.6,6,Momento
36,7.8,2.4,3.0,15.0,0.9975,3.42,0.6,10.8,6,Raiz
37,8.1,2.1,13.0,30.0,0.9968,3.23,0.73,9.7,7,Raiz
40,7.3,5.9,12.0,87.0,0.9978,3.33,0.83,10.5,5,Momento
41,8.8,2.8,17.0,46.0,0.9976,3.26,0.51,9.3,4,Raiz
42,7.5,2.6,8.0,14.0,0.9968,3.21,0.9,10.5,6,Raiz
43,8.1,2.2,9.0,23.0,0.9968,3.3,1.2,10.3,5,Raiz
45,4.6,2.1,8.0,65.0,0.9934,3.9,0.56,13.1,4,Grande Século
46,7.7,2.2,22.0,114.0,0.997,3.25,0.73,9.2,5,Raiz
50,8.8,1.7,4.0,23.0,0.9971,3.15,0.74,9.2,5,Raiz
51,6.6,2.2,8.0,15.0,0.9956,3.4,0.63,9.4,6,Raiz
52,6.6,2.1,6.0,14.0,0.9955,3.39,0.64,9.4,6,Raiz
53,8.6,3.0,30.0,119.0,0.997,3.2,0.56,9.4,5,Raiz
54,7.6,2.8,33.0,73.0,0.9955,3.17,0.63,10.2,6,Raiz
56,10.2,3.4,4.0,10.0,0.9971,3.04,0.63,9.6,5,Momento
58,7.8,2.3,17.0,54.0,0.9975,3.43,0.59,10.0,5,Raiz
59,7.3,2.4,9.0,46.0,0.9962,3.41,0.54,9.4,6,Raiz
60,8.8,2.2,19.0,52.0,0.998,3.44,0.64,9.2,5,Raiz
61,7.7,1.8,20.0,112.0,0.9968,3.21,0.71,9.3,5,Raiz
63,7.0,2.0,13.0,54.0,0.9966,3.39,0.57,9.8,5,Raiz
64,7.2,4.65,4.0,11.0,0.9962,3.41,0.39,10.9,5,Grande Século
65,7.2,4.65,4.0,11.0,0.9962,3.41,0.39,10.9,5,Grande Século
67,6.6,1.6,6.0,15.0,0.9962,3.44,0.58,10.7,5,Raiz
69,8.0,1.9,8.0,19.0,0.9962,3.34,0.95,10.5,6,Raiz
72,7.7,1.9,18.0,94.0,0.9961,3.31,0.48,9.5,5,Raiz
73,8.3,2.1,11.0,43.0,0.9976,3.31,0.53,9.2,4,Raiz
76,8.8,2.2,9.0,42.0,0.9986,3.54,0.66,10.5,5,Raiz
77,6.8,2.4,14.0,30.0,0.9966,3.52,0.55,10.7,6,Raiz
78,6.7,2.0,12.0,80.0,0.9958,3.38,0.52,10.1,5,Raiz
79,8.3,1.5,27.0,119.0,0.9972,3.16,1.12,9.1,4,Raiz
80,6.2,1.6,3.0,15.0,0.9958,3.41,0.56,9.2,5,Raiz
82,7.4,2.0,21.0,73.0,0.997,3.36,0.57,9.1,5,Raiz
84,6.3,1.8,18.0,61.0,0.9959,3.44,0.78,10.3,6,Raiz
85,6.9,2.2,19.0,40.0,0.9961,3.41,0.59,10.1,5,Raiz
86,8.6,1.9,20.0,136.0,0.9972,2.93,1.95,9.9,6,Raiz
87,7.7,1.9,9.0,31.0,0.9966,3.39,0.64,9.6,5,Raiz
88,9.3,2.1,34.0,125.0,0.9978,3.14,1.22,9.5,5,Raiz
89,7.0,1.8,8.0,24.0,0.9978,3.48,0.53,9.0,5,Raiz
90,7.9,1.9,42.0,140.0,0.9964,3.23,0.54,9.5,5,Raiz
91,8.6,1.9,20.0,136.0,0.9972,2.93,1.95,9.9,6,Raiz
93,7.7,1.9,9.0,31.0,0.9966,3.39,0.64,9.6,5,Raiz
94,5.0,1.4,41.0,85.0,0.9938,3.75,0.48,10.5,4,Grande Século
96,6.8,3.0,8.0,23.0,0.9965,3.45,0.56,10.7,5,Raiz
98,7.6,2.5,5.0,10.0,0.9967,3.39,0.56,9.8,5,Raiz
99,8.1,1.9,13.0,35.0,0.9972,3.3,0.59,9.0,6,Raiz
100,8.3,2.1,11.0,50.0,0.9972,3.4,0.61,10.2,6,Raiz
102,8.1,1.9,13.0,35.0,0.9972,3.3,0.59,9.0,6,Raiz
103,8.1,2.1,12.0,65.0,0.9967,3.29,0.51,9.2,5,Raiz
104,7.2,2.2,5.0,36.0,0.996,3.33,0.48,9.4,5,Raiz
105,8.1,2.1,12.0,65.0,0.9967,3.29,0.51,9.2,5,Raiz
106,7.8,1.7,18.0,69.0,0.9973,3.08,1.31,9.3,5,Raiz
107,6.2,1.7,15.0,64.0,0.9969,3.46,0.79,9.3,5,Raiz
110,7.8,1.8,12.0,47.0,0.9964,3.19,0.93,9.5,5,Raiz
111,8.4,2.2,11.0,108.0,0.9964,3.15,0.66,9.8,5,Raiz
113,10.1,2.3,22.0,46.0,0.9988,3.32,0.67,9.7,6,Momento
114,7.8,1.8,12.0,47.0,0.9964,3.19,0.93,9.5,5,Raiz
115,9.4,2.2,13.0,62.0,0.9966,3.07,0.63,10.5,6,Raiz
116,8.3,1.9,11.0,40.0,0.9978,3.39,0.61,10.0,6,Raiz
120,7.3,1.7,10.0,89.0,0.9962,3.3,0.57,9.0,5,Raiz
121,8.8,2.2,14.0,56.0,0.9962,3.21,0.6,10.9,6,Raiz
122,7.3,2.5,3.0,13.0,0.998,3.49,0.52,9.2,5,Raiz
124,7.8,1.6,21.0,102.0,0.996,3.39,0.48,9.5,5,Raiz
126,8.2,1.7,3.0,12.0,0.9964,3.53,0.49,10.9,5,Raiz
127,8.1,1.8,3.0,12.0,0.9964,3.54,0.48,10.9,5,Raiz
128,8.0,1.8,3.0,16.0,0.9962,3.42,0.92,10.5,7,Raiz
130,8.0,2.0,30.0,134.0,0.9968,3.24,0.66,9.4,5,Raiz
131,5.6,2.3,17.0,99.0,0.9937,3.63,0.63,13.0,5,Grande Século
134,7.9,2.2,13.0,29.0,0.9959,3.22,0.55,9.9,6,Raiz
135,8.4,1.9,16.0,63.0,0.9965,3.19,0.82,9.6,5,Raiz
137,7.2,2.0,13.0,45.0,0.9972,3.48,0.64,9.2,5,Raiz
140,8.4,1.9,16.0,63.0,0.9965,3.19,0.82,9.6,5,Raiz
142,5.2,1.8,27.0,63.0,0.9916,3.68,0.79,14.0,6,Grande Século
143,6.3,1.7,3.0,20.0,0.9954,3.34,0.58,9.4,5,Raiz
144,5.2,1.8,27.0,63.0,0.9916,3.68,0.79,14.0,6,Grande Século
145,8.1,1.8,32.0,141.0,0.9968,3.17,0.62,9.4,5,Raiz
146,5.8,1.8,21.0,94.0,0.9944,3.54,0.52,10.0,5,Raiz
148,6.9,2.3,12.0,30.0,0.9959,3.42,0.58,10.2,6,Raiz
150,7.3,2.1,5.0,11.0,0.9958,3.33,0.53,10.3,6,Raiz
151,9.2,3.4,32.0,69.0,0.9996,2.74,2.0,9.4,4,Momento
152,7.5,1.8,25.0,99.0,0.995,3.35,0.54,10.1,5,Raiz
153,7.5,1.8,25.0,99.0,0.995,3.35,0.54,10.1,5,Raiz
155,7.1,5.5,28.0,128.0,0.9973,3.42,0.71,10.5,5,Raiz
156,7.1,5.5,29.0,129.0,0.9973,3.42,0.72,10.5,5,Raiz
157,7.1,5.5,28.0,128.0,0.9973,3.42,0.71,10.5,5,Raiz
158,7.1,2.2,12.0,22.0,0.9969,3.48,0.5,9.3,5,Raiz
159,6.8,1.9,18.0,86.0,0.9968,3.59,0.57,9.3,6,Raiz
160,7.6,2.0,7.0,20.0,0.9959,3.2,0.56,9.6,5,Raiz
161,7.6,1.3,9.0,20.0,0.9965,3.17,1.08,9.2,4,Raiz
162,7.8,1.7,17.0,31.0,0.9964,3.33,0.56,10.0,6,Raiz
163,7.4,7.3,36.0,121.0,0.9982,3.37,0.49,9.4,5,Momento
164,7.3,7.2,35.0,121.0,0.9981,3.37,0.49,9.4,5,Momento
165,7.8,1.7,14.0,96.0,0.9961,3.19,0.62,9.5,5,Raiz
166,6.8,2.1,18.0,101.0,0.9956,3.34,0.52,10.2,5,Raiz
167,7.3,1.6,17.0,42.0,0.9956,3.37,0.48,9.0,4,Raiz
168,6.8,2.1,11.0,44.0,0.9953,3.47,0.55,10.4,6,Raiz
170,7.9,1.8,4.0,8.0,0.9972,3.36,0.33,9.1,4,Raiz
172,8.0,2.0,6.0,18.0,0.9972,3.29,0.61,9.2,6,Raiz
173,7.4,1.9,24.0,42.0,0.9961,3.42,0.57,11.5,6,Grande Século
175,6.9,1.5,19.0,49.0,0.9958,3.35,0.78,9.5,5,Raiz
176,7.3,2.0,7.0,35.0,0.9961,3.33,0.47,9.5,5,Raiz
177,7.5,2.3,8.0,38.0,0.9972,3.58,0.61,10.5,6,Raiz
178,7.0,2.5,7.0,20.0,0.9969,3.48,0.56,9.6,5,Raiz
179,8.8,2.4,10.0,42.0,0.9969,3.19,0.59,9.5,5,Raiz
180,8.8,2.4,10.0,42.0,0.9969,3.19,0.59,9.5,5,Raiz
181,8.9,2.0,23.0,110.0,0.9972,3.12,1.02,9.3,5,Raiz
182,7.2,2.5,16.0,42.0,0.9972,3.44,0.52,9.3,5,Raiz
183,6.8,1.8,11.0,65.0,0.9971,3.54,0.58,9.3,5,Raiz
184,6.7,1.9,8.0,62.0,0.997,3.52,0.58,9.3,6,Raiz
185,8.9,2.0,26.0,85.0,0.9971,3.26,0.53,9.7,5,Raiz
186,7.4,2.0,14.0,67.0,0.9972,3.34,0.55,9.2,5,Raiz
188,7.9,2.0,15.0,143.0,0.9968,3.2,0.55,9.5,5,Raiz
190,8.2,2.9,21.0,127.0,0.9976,3.23,0.62,9.4,5,Raiz
191,6.4,1.9,21.0,49.0,0.9974,3.57,0.62,9.8,6,Raiz
193,7.6,2.2,7.0,28.0,0.9964,3.28,0.55,9.7,5,Raiz
194,7.6,2.2,7.0,28.0,0.9964,3.28,0.55,9.7,5,Raiz
196,7.3,2.4,15.0,55.0,0.9968,3.46,0.59,10.2,5,Raiz
197,11.5,2.0,12.0,27.0,0.9981,3.11,0.97,10.1,6,Momento
199,6.9,2.1,12.0,31.0,0.9948,3.51,0.43,11.4,4,Grande Século
200,9.6,1.4,9.0,24.0,0.99695,3.22,0.82,10.3,7,Raiz
204,7.0,1.6,14.0,37.0,0.99615,3.34,0.56,9.2,6,Raiz
205,12.8,2.6,9.0,28.0,0.9994,3.2,0.77,10.8,7,Momento
206,12.8,2.6,9.0,28.0,0.9994,3.2,0.77,10.8,7,Momento
208,7.8,2.7,18.0,95.0,0.9966,3.22,0.67,9.4,5,Raiz
210,9.7,2.0,5.0,19.0,0.99585,3.3,0.86,12.4,6,Grande Século
211,8.0,2.8,10.0,62.0,0.99685,3.35,0.56,10.0,6,Raiz
213,8.2,2.2,28.0,65.0,0.9959,3.3,0.43,10.1,5,Raiz
214,7.8,2.4,10.0,41.0,0.9974,3.24,0.71,9.8,6,Raiz
215,7.0,5.6,26.0,121.0,0.9974,3.34,0.76,10.5,5,Raiz
216,8.7,2.0,13.0,49.0,0.9962,3.14,0.57,11.0,5,Raiz
217,8.1,2.2,11.0,41.0,0.9967,3.36,0.55,9.1,5,Raiz
218,7.5,1.9,10.0,44.0,0.9957,3.39,0.54,9.7,5,Raiz
220,7.8,2.0,24.0,58.0,0.9964,3.34,0.59,9.4,6,Raiz
221,7.4,2.0,16.0,72.0,0.9957,3.15,0.57,9.4,5,Raiz
222,6.8,1.5,5.0,10.0,0.99525,3.42,0.6,9.5,5,Raiz
223,8.6,2.0,8.0,28.0,0.99815,3.28,0.6,10.0,6,Raiz
225,7.7,2.6,29.0,63.0,0.99615,3.37,0.58,10.5,6,Raiz
226,8.9,2.0,27.0,81.0,0.9964,3.04,1.61,9.5,6,Raiz
230,5.2,1.6,19.0,106.0,0.9927,3.54,0.62,12.2,7,Grande Século
231,8.0,1.8,12.0,49.0,0.99625,3.37,0.52,9.9,6,Raiz
232,8.5,2.8,18.0,58.0,0.998,3.34,0.7,9.6,6,Raiz
234,8.2,2.3,7.0,37.0,0.99685,3.32,0.55,9.0,6,Raiz
235,7.2,1.9,14.0,38.0,0.99675,3.37,0.58,9.0,6,Raiz
240,8.9,1.7,5.0,62.0,0.9971,3.0,1.09,9.3,5,Raiz
241,12.0,2.1,6.0,24.0,0.99925,3.14,0.71,10.9,6,Momento
242,7.7,1.8,28.0,109.0,0.99565,3.08,0.49,9.8,6,Raiz
243,15.0,2.2,10.0,24.0,1.00005,3.07,0.84,9.2,7,Momento
244,15.0,2.2,10.0,24.0,1.00005,3.07,0.84,9.2,7,Momento
245,7.3,2.0,6.0,23.0,0.9983,3.61,0.96,9.9,6,Raiz
246,7.1,1.9,16.0,51.0,0.99685,3.38,0.52,9.5,5,Raiz
249,7.3,2.0,6.0,23.0,0.9983,3.61,0.96,9.9,6,Raiz
250,10.8,1.6,16.0,37.0,0.9985,3.22,0.78,10.0,6,Momento
251,7.1,1.8,16.0,34.0,0.9972,3.47,0.7,9.9,6,Raiz
252,11.1,3.1,5.0,21.0,0.9986,3.17,0.53,10.5,5,Momento
253,7.7,1.9,8.0,86.0,0.9959,3.23,0.59,9.5,5,Raiz
255,8.0,3.2,17.0,119.0,0.99675,3.26,0.57,9.3,5,Raiz
256,9.4,2.2,5.0,13.0,0.998,3.22,0.62,9.2,5,Raiz
257,6.6,2.1,12.0,56.0,0.9968,3.49,0.67,9.2,5,Raiz
258,7.7,1.8,8.0,45.0,0.9968,3.06,1.26,9.4,5,Raiz
259,10.0,2.6,14.0,33.0,0.99965,3.36,0.8,10.5,7,Momento
260,7.9,1.7,18.0,45.0,0.99625,3.29,0.65,9.3,5,Raiz
261,7.0,2.0,12.0,67.0,0.99565,3.35,0.6,9.4,4,Raiz
262,8.0,1.7,10.0,35.0,0.99575,3.34,0.57,10.0,5,Raiz
263,7.9,1.8,23.0,49.0,0.9963,3.28,0.67,9.3,5,Raiz
264,12.5,2.4,5.0,27.0,0.9999,3.08,0.87,10.9,5,Momento
266,8.1,3.3,26.0,61.0,1.00025,3.6,0.72,9.8,4,Momento
267,7.9,3.6,15.0,37.0,0.9973,3.35,0.86,12.8,8,Grande Século
268,6.9,3.0,7.0,27.0,0.9987,3.69,0.91,9.4,6,Raiz
269,11.5,4.0,4.0,23.0,0.9996,3.28,0.97,10.1,6,Momento
270,7.9,4.0,27.0,61.0,0.9965,3.36,0.67,10.7,6,Raiz
275,7.9,4.0,27.0,61.0,0.9965,3.36,0.67,10.7,6,Raiz
276,6.9,3.0,7.0,27.0,0.9987,3.69,0.91,9.4,6,Raiz
277,11.5,4.0,4.0,23.0,0.9996,3.28,0.97,10.1,6,Momento
278,10.3,6.4,5.0,13.0,0.9976,3.23,0.82,12.6,8,Momento
279,8.9,5.6,10.0,47.0,0.9991,3.38,0.77,10.5,7,Momento
280,11.4,3.6,6.0,19.0,0.9986,3.12,0.82,9.3,6,Momento
281,7.7,3.5,5.0,10.0,0.9972,3.25,1.08,9.9,7,Raiz
283,8.9,5.6,10.0,47.0,0.9991,3.38,0.77,10.5,7,Momento
284,9.9,3.4,32.0,71.0,1.00015,3.31,0.71,9.8,5,Momento
285,9.9,3.4,32.0,71.0,1.00015,3.31,0.71,9.8,5,Momento
286,12.0,2.0,25.0,49.0,0.9997,3.1,0.76,10.3,6,Momento
287,7.5,3.0,29.0,53.0,0.9967,3.37,0.7,10.3,6,Raiz
288,8.7,2.5,20.0,49.0,0.9976,3.34,0.86,10.6,7,Raiz
289,11.6,3.3,33.0,98.0,1.001,3.2,0.95,9.2,5,Momento
290,8.7,2.5,20.0,49.0,0.9976,3.34,0.86,10.6,7,Raiz
292,10.4,2.7,18.0,48.0,0.9994,3.22,0.64,10.3,6,Momento
293,6.9,2.4,5.0,16.0,0.9964,3.41,0.6,10.1,6,Raiz
294,13.3,3.2,17.0,53.0,1.0014,3.05,0.81,9.5,6,Momento
295,10.8,2.5,5.0,27.0,1.0001,3.05,0.64,9.5,5,Momento
296,10.6,2.6,26.0,70.0,0.9981,3.16,0.52,9.9,5,Momento
297,7.1,2.0,8.0,29.0,0.99855,3.67,0.73,9.6,5,Raiz
298,7.2,2.3,5.0,31.0,0.9993,3.67,0.8,9.7,5,Raiz
300,7.5,2.6,20.0,44.0,0.9965,3.38,0.59,10.7,6,Raiz
301,11.1,1.5,7.0,15.0,0.9973,3.22,0.64,10.1,6,Momento
302,8.3,2.6,12.0,28.0,0.9994,3.51,0.72,10.0,5,Raiz
304,8.4,2.1,12.0,90.0,0.9973,3.2,0.52,9.2,5,Raiz
306,7.6,2.2,7.0,54.0,0.9966,3.36,0.52,9.4,5,Raiz
307,10.3,2.4,6.0,14.0,0.9994,3.19,0.62,9.5,6,Momento
308,10.3,2.4,5.0,12.0,0.9994,3.19,0.63,9.5,6,Momento
311,7.9,2.0,15.0,105.0,0.996,3.27,0.54,9.4,6,Raiz
312,9.0,2.8,19.0,98.0,0.99815,3.32,0.63,9.5,6,Raiz
313,8.6,3.0,30.0,135.0,0.9976,3.3,0.53,9.4,5,Raiz
314,7.4,2.6,26.0,72.0,0.99645,3.39,0.68,11.0,5,Grande Século
318,9.8,3.2,21.0,59.0,0.9989,3.37,0.71,11.5,7,Momento
319,9.6,2.9,30.0,74.0,0.99865,3.3,0.64,10.4,6,Momento
321,9.3,3.4,25.0,87.0,0.99975,3.24,0.62,9.7,5,Momento
324,10.0,11.0,13.0,50.0,1.0015,3.16,0.69,9.2,6,Momento
325,10.0,11.0,13.0,50.0,1.0015,3.16,0.69,9.2,6,Momento
326,11.6,3.65,6.0,14.0,0.9978,3.05,0.74,11.5,7,Momento
327,10.3,4.5,5.0,13.0,0.998,3.28,0.83,11.5,5,Momento
328,13.4,2.6,6.0,21.0,1.0002,3.16,0.67,9.7,6,Momento
333,8.4,2.1,16.0,44.0,0.9958,3.13,0.52,11.0,5,Grande Século
334,7.9,2.5,17.0,38.0,0.9963,3.34,0.74,11.7,7,Grande Século
335,11.9,3.4,7.0,21.0,0.9992,3.17,0.84,12.2,7,Momento
336,8.9,1.9,6.0,16.0,0.9948,3.35,0.7,12.5,6,Grande Século
337,7.8,2.8,29.0,58.0,0.9974,3.31,0.64,10.3,5,Raiz
339,12.5,2.3,12.0,29.0,0.9997,3.11,1.36,9.8,7,Momento
342,10.9,1.8,6.0,14.0,0.9982,3.3,0.75,9.8,6,Momento
343,10.9,1.8,6.0,14.0,0.9982,3.3,0.75,9.8,6,Momento
344,11.9,2.6,6.0,32.0,1.0006,3.12,0.78,10.7,6,Momento
347,13.8,3.0,6.0,15.0,0.9986,3.02,0.93,12.0,6,Momento
348,9.6,2.8,15.0,46.0,0.9979,3.11,0.92,10.0,6,Momento
351,9.1,2.6,11.0,26.0,0.9994,3.35,0.83,9.4,6,Momento
352,7.7,2.4,8.0,19.0,0.9974,3.27,0.73,9.3,5,Raiz
353,13.5,4.8,23.0,77.0,1.0018,3.18,0.77,13.0,5,Momento
354,6.1,1.4,40.5,165.0,0.9912,3.25,0.59,11.9,6,Grande Século
355,6.7,2.4,17.0,32.0,0.9955,3.55,0.61,12.8,6,Grande Século
356,11.5,3.0,29.0,55.0,1.0001,3.26,0.88,11.0,5,Momento
357,10.5,2.95,12.0,29.0,0.997,3.24,0.75,11.7,7,Momento
358,11.9,3.1,10.0,23.0,1.0,3.15,0.85,10.4,7,Momento
359,12.6,2.6,10.0,41.0,1.001,3.17,0.68,9.8,6,Momento
360,8.2,2.0,14.0,81.0,0.9973,3.19,0.7,9.4,5,Raiz
361,8.6,2.6,21.0,50.0,0.9982,3.37,0.91,9.9,6,Raiz
362,11.9,2.5,6.0,37.0,0.9992,3.05,0.56,10.0,5,Momento
363,12.5,2.0,6.0,15.0,0.9988,2.99,0.87,10.2,5,Momento
364,12.8,5.8,7.0,42.0,1.0022,3.07,0.73,10.0,7,Momento
366,12.8,5.8,7.0,42.0,1.0022,3.07,0.73,10.0,7,Momento
367,10.4,2.6,11.0,24.0,1.0,3.16,0.69,9.0,5,Momento
369,9.4,2.4,6.0,18.0,0.9962,3.2,1.13,12.0,7,Grande Século
371,7.9,1.6,11.0,25.0,0.9967,3.32,0.87,8.7,6,Raiz
372,9.1,1.8,26.0,46.0,0.9967,3.32,1.04,10.6,6,Raiz
376,11.5,3.0,19.0,47.0,1.0003,3.26,1.11,11.0,6,Momento
377,9.4,2.4,6.0,18.0,0.9962,3.2,1.13,12.0,7,Grande Século
378,11.4,6.2,6.0,24.0,0.9988,3.11,0.99,13.3,6,Momento
380,8.3,2.0,11.0,27.0,0.9974,3.21,0.8,9.4,6,Raiz
384,7.7,2.1,23.0,54.0,0.998,3.42,0.74,9.2,5,Raiz
388,7.8,1.9,23.0,53.0,0.9981,3.43,0.74,9.2,6,Raiz
390,5.6,1.4,12.0,88.0,0.9924,3.56,0.82,12.9,8,Grande Século
391,13.7,2.9,17.0,43.0,1.0014,3.06,0.8,10.0,6,Momento
392,9.5,2.0,6.0,26.0,0.998,3.18,0.51,9.5,5,Raiz
395,12.0,4.2,7.0,38.0,1.0004,3.22,0.6,13.0,7,Momento
396,6.6,7.9,68.0,124.0,0.9994,3.47,0.53,9.9,5,Momento
397,11.5,2.6,13.0,49.0,0.9988,3.18,0.65,11.0,6,Momento
399,8.7,2.3,9.0,42.0,0.9963,3.1,0.55,9.4,5,Raiz
400,6.6,7.9,68.0,124.0,0.9994,3.47,0.53,9.9,5,Momento
402,12.2,2.6,19.0,64.0,1.0,3.1,0.61,10.5,6,Momento
403,11.4,2.7,10.0,41.0,0.9994,3.15,0.63,10.5,6,Momento
404,7.7,2.7,15.0,27.0,0.9974,3.26,0.61,9.1,5,Raiz
406,9.8,2.5,9.0,28.0,0.9981,3.24,0.65,10.8,6,Momento
407,12.0,3.0,12.0,30.0,0.9996,3.18,0.63,10.8,7,Momento
409,12.5,4.5,26.0,49.0,0.9981,3.05,0.57,9.6,4,Momento
410,9.0,2.5,26.0,86.0,0.9987,3.38,0.62,9.5,6,Raiz
412,7.1,1.9,15.0,77.0,0.9966,3.27,0.64,9.3,5,Raiz
413,9.9,6.7,6.0,19.0,0.9986,3.27,0.82,11.7,7,Momento
414,8.8,2.7,24.0,122.0,0.9982,3.26,0.61,9.5,5,Raiz
415,8.6,6.6,31.0,134.0,1.0014,3.32,1.07,9.3,5,Momento
416,10.6,2.2,6.0,20.0,0.997,3.26,0.66,11.7,6,Momento
417,7.0,1.9,34.0,124.0,0.9956,3.44,0.48,10.5,5,Raiz
418,11.9,2.0,7.0,20.0,0.9996,3.24,0.76,10.4,6,Momento
419,6.8,1.8,34.0,52.0,0.9976,3.62,0.68,9.9,5,Raiz
421,6.6,2.3,32.0,48.0,0.9952,3.52,0.56,12.3,7,Grande Século
422,7.7,2.0,15.0,60.0,0.9955,3.36,0.44,10.9,5,Grande Século
423,10.5,2.1,6.0,24.0,0.9978,3.15,0.9,11.0,7,Momento
425,6.6,2.3,32.0,48.0,0.9952,3.52,0.56,12.3,7,Grande Século
